,target,condition,top_k,ED,ED_z,target_group
0,01.LPP4.O,local,20,6.766919571419962,-5.719433134073046,Other
1,01.LPP4.O,global,20,12.390405718418103,1.2281621260925442,Other
102,02.LPP1.O,local,195,8.970303639401145,-3.638617868136252,Other
103,02.LPP1.O,global,195,,,Other
204,03.MB1.B,local,180,4.351433486341823,-8.408063873984306,B
205,03.MB1.B,global,180,7.575937127256244,-0.19540891942472427,B
306,04.MO1s1.O,local,40,4.612672735002276,-3.1676943313681494,O
307,04.MO1s1.O,global,40,7.269878320907531,-0.20642015971687452,O
408,04.Unknown.O,local,80,5.9903305092308194,-0.23880239943813078,Unknown
409,04.Unknown.O,global,80,6.0322310489846505,-0.14596677522318718,Unknown
510,05.MO1s2.O,local,10,6.951898541450316,-1.454366432569226,O
511,05.MO1s2.O,global,10,8.891638705410365,0.5399439033235324,O
612,05.Unknown.F,local,10,6.57361193227734,-2.763495783048487,Unknown
613,05.Unknown.F,global,10,10.502706457650515,0.9869391854109476,Unknown
714,06.Unknown.B,local,60,4.64820522040411,-3.177306929913654,Unknown
715,06.Unknown.B,global,60,6.443402089717824,-0.18559180702866004,Unknown
816,06.Unknown.O,local,10,6.437790216149422,-3.468233732564188,Unknown
817,06.Unknown.O,global,10,10.128113750417908,0.8475341795279533,Unknown
918,07.MF1.F,local,60,5.659888128416112,-7.512947393950226,F
919,07.MF1.F,global,60,9.702565009651074,-0.1698770787102956,F
1020,08.MB1.B,local,10,7.378327971971777,1.7585785208027465,B
1021,08.MB1.B,global,10,,,B
1122,08.MF1.F,local,30,2.8960956877083834,-4.0685786413833975,F
1123,08.MF1.F,global,30,4.552828895152089,-0.48446678510806446,F
1224,09.MF1.F,local,45,7.513818818299068,-5.744965624194535,F
1225,09.MF1.F,global,45,12.205512116851535,0.4729776105905571,F
1326,09.Unknown.B,local,85,10.70203794463379,-2.8735150604346864,Unknown
1327,09.Unknown.B,global,85,11.830440778189613,-0.05662464276627352,Unknown
1428,10.PITP4.O,local,25,4.254996514367236,-3.6969937532289743,Other
1429,10.PITP4.O,global,25,6.466181985380758,-0.009162448955277873,Other
1530,11.Unknown.O,local,50,4.554929790219329,-4.670273121549472,Unknown
1531,11.Unknown.O,global,50,8.902632335443254,0.12575023520588402,Unknown
1632,12.AB3.B,local,85,5.114600566006282,-5.01312211952231,B
1633,12.AB3.B,global,85,7.496923492865385,-0.040737104811036234,B
1734,12.MB3.B,local,25,4.070749521797668,-1.5370628678586578,B
1735,12.MB3.B,global,25,4.594493510829515,-0.4306048151962465,B
1836,13.CLC3.O,local,40,7.663486246338971,1.7818378846847764,Other
1837,13.CLC3.O,global,40,6.528462340466577,-0.17678037792807164,Other
1938,14.Unknown.O,local,85,5.0381458439975,-4.157228129137427,Unknown
1939,14.Unknown.O,global,85,6.771327984929181,-0.16109494114446787,Unknown
2040,15.Unknown.O,local,55,7.330072373375644,-2.8023682952939883,Unknown
2041,15.Unknown.O,global,55,9.128877697205263,0.0426772853678601,Unknown
2142,16.Unknown.O,local,195,11.374142681508992,-6.35127585396129,Unknown
2143,16.Unknown.O,global,195,12.694874052300618,-0.07322120525939048,Unknown
2244,17.AB3.B,local,195,5.22300483934688,-3.5583004782349312,B
2245,17.AB3.B,global,195,6.09961599001116,0.035641879932498344,B
2346,18.AB3.B,local,30,4.95025395284478,-3.9057457245978355,B
2347,18.AB3.B,global,30,,,B
2448,18.AF3.F,local,120,6.679496723391296,-5.322389218710788,F
2449,18.AF3.F,global,120,8.451209887506101,-0.2843593531236696,F
2550,19.Unknown.F,local,30,6.540449589054757,-5.089622950376814,Unknown
2551,19.Unknown.F,global,30,11.517009777520629,0.7314562200566819,Unknown
2652,20.MB2.B,local,155,3.799108731156442,-3.611532647889057,B
2653,20.MB2.B,global,155,4.522513387964466,-0.16179868277190118,B
2754,20.Unknown.B,local,195,7.827550397464657,-5.956684989432923,Unknown
2755,20.Unknown.B,global,195,9.638568349822847,-0.10187833058200346,Unknown
2856,21.MO2.O,local,5,5.01469069907231,-0.5172065848718119,O
2857,21.MO2.O,global,5,7.262208973953619,2.9958847338832593,O
2958,22.Unknown.O,local,5,5.719000985388087,-0.7702893146084131,Unknown
2959,22.Unknown.O,global,5,10.001942138288598,6.884694682902234,Unknown
3060,23.Unknown.B,local,195,15.68124836062648,-5.6786172355441,Unknown
3061,23.Unknown.B,global,195,,,Unknown
3162,24.AO2.O,local,5,4.876628463138165,-3.297178604281811,O
3163,24.AO2.O,global,5,12.632527338871267,12.588077287978825,O
3264,25.AO5.O,local,10,4.681948547010275,-1.698903004375523,O
3265,25.AO5.O,global,10,6.090970957139561,-0.46004302054934854,O
3366,26.Unknown.O,local,20,5.587714599667252,-4.420865806932671,Unknown
3367,26.Unknown.O,global,20,9.722602107833264,0.21353197271172536,Unknown
3468,27.Unknown.B,local,45,4.2815603232229105,-1.626047726811851,Unknown
3469,27.Unknown.B,global,45,4.974446252260141,-0.30556081216929626,Unknown
